city,url,text,image
paris,https://www.lonelyplanet.com/france/paris," Paris' monument-lined boulevards, museums, classical bistros and boutiques are enhanced by a new wave of multimedia galleries, creative wine bars, design shops and tech start-ups. The cloud-piercing, wrought-iron Eiffel Tower, broad Arc de Triomphe guarding the glamorous avenue des Champs-Élysées, flying buttressed Notre Dame cathedral, lamplit bridges spanning the Seine and art nouveau cafes' wicker-chair-lined terraces are enduring Parisian emblems. Despite initial appearances, however, Paris’ cityscape isn’t static: there are some stunning modern and contemporary icons, too, from the inside-out, industrial-style Centre Pompidou to the mur végétal (vertical garden) gracing the Musée du Quai Branly, the glass sails of the Fondation Louis Vuitton contemporary-art centre, and the gleaming steel egg-shaped concert venue La Seine Musicale. France’s reputation for its cuisine (the French word for ‘kitchen’) precedes it, and whether you seek a cosy neighbourhood bistro or a triple-Michelin-starred temple to gastronomy, you'll find that every establishment prides itself on exquisite preparation and presentation of quality produce, invariably served with wine. Enticing patisseries, boulangeries (bakeries), fromageries (cheese shops) and crowded, colourful street markets are perfect for putting together a picnic to take to the city’s beautiful parks and gardens. A host of culinary courses – held anywhere from home kitchens to the world’s most prestigious cookery schools – offers instruction for all schedules, abilities and budgets. The word 'Parisian' is synonymous with style, and fashion shopping is the city’s forte. Paris remains at the forefront of international trends, and browsing emerging and established designer boutiques and flagship haute couture houses is a quintessential part of any visit. You’ll also find hip concept and homewares shops, and resplendent art nouveau department stores, along with a trove of vintage shops and flea markets, atmospheric bookshops and dark-green bouquiniste stalls stocking secondhand titles along the riverbanks, adorable children’s wear and toy shops, art and antique dealers, venerable establishments selling professional cookware, and, of course, gourmet-food and wine shops galore. With an illustrious artistic pedigree – Renoir, Rodin, Picasso, Monet, Manet, Dalí and Van Gogh are but a few of the masters who have lived and worked here over the years – Paris is one of the world's great art repositories, harbouring treasures from antiquity onwards. In addition to big hitters like the incomparable Louvre, the Musée d’Orsay’s exceptional impressionist collection, and the Centre Pompidou’s cache of modern and contemporary art, scores of smaller museums showcase every imaginable genre, a diverse range of venues mount major exhibitions through to offbeat installations, and there's also the city's vibrant street art.",https://lp-cms-production.imgix.net/2019-06/GettyImages-500759045_super.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
london,https://www.lonelyplanet.com/england/london," One of the world's most visited cities, London has something for everyone: from history and culture to fine food and good times. Immersed in history, London's rich seams of eye-opening antiquity are everywhere. The city's buildings are striking milestones in a unique and beguiling biography, and a great many of them – the Tower of London, Westminster Abbey, Big Ben – are instantly recognisable landmarks. There’s more than enough innovation (the Shard, the Tate Modern extension, the Sky Garden) to put a crackle in the air, but it never drowns out London’s seasoned, centuries-old narrative. Architectural grandeur rises up all around you in the West End, ancient remains dot the City and charming pubs punctuate the historic quarters, leafy suburbs and river banks. Take your pick. A tireless innovator of art and culture, London is a city of ideas and the imagination. Londoners have always been fiercely independent thinkers (and critics), but until not so long ago people were suspicious of anything they considered avant-garde. That’s in the past now, and the city’s creative milieu is streaked with left-field attitude, whether it's theatrical innovation, contemporary art, pioneering music, writing, poetry, arelhichitecture or design. Food is another creative arena that has become a tireless obsession in certain circles. This city is deeply multicultural, with one in three Londoners foreign-born, representing 270 nationalities and 300 tongues. The UK may have voted for Brexit (although the majority of Londoners didn't), but for now London remains one of the world's most cosmopolitan cities, and diversity infuses daily life, food, music and fashion. It even penetrates intrinsically British institutions; the British Museum and Victoria & Albert Museum have collections as varied as they are magnificent, while the flavours at centuries-old Borough Market run the full global gourmet spectrum. London is as much about wide-open vistas and leafy landscape escapes as it is high-density, sight-packed urban exploration. Central London is where the major museums, galleries and most iconic sights congregate, but visit Hampstead Heath or the Queen Elizabeth Olympic Park to flee the crowds and frolic in wide open green expanses. You can also venture further out to Kew Gardens, Richmond or Hampton Court Palace for beautiful panoramas of riverside London followed by a pint in a quiet waterside pub.",https://lp-cms-production.imgix.net/2019-06/55425108.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
new-york-city,https://www.lonelyplanet.com/usa/new-york-city," Epicenter of the arts. Architectural darling. Dining and shopping capital. Trendsetter. New York City wears many crowns, and spreads an irresistible feast for all. The Met, MoMA and the Guggenheim are just the beginning of a dizzying list of art-world icons. You’ll find museums devoted to everything from fin de siècle Vienna to medieval European treasures, and sprawling galleries filled with Japanese sculpture, postmodern American painting, Himalayan textiles and New York City lore. For a glimpse of current and future greats, delve into the cutting-edge galleries of Chelsea and the Lower East Side, with their festive opening-night parties (usually Thursday night if you want to join in), or head to new frontiers in Brooklyn and Queens. With its compact size and streets packed with eye candy of all sorts – architectural glories, Old World cafes, atmospheric booksellers – NYC is a wanderer’s delight. Crossing continents is as easy as walking a few avenues in this jumbled city of 200-plus nationalities. You can lose yourself in the crowds of Chinatown amid bright Buddhist temples and steaming noodle shops, then stroll up to Nolita for enticing boutiques and coffee tasting. Every neighborhood offers a dramatically different version of the city, from the 100-year-old Jewish delis of the Upper West Side to the meandering cobblestone lanes of Greenwich Village. And the best way to experience it is to walk its streets. When the sun sinks slowly beyond the Hudson and luminous skyscrapers light up the night, New York transforms into one grand stage. Well-known actors take to the legendary theaters of Broadway and world-class soloists, dancers and musicians perform at venues large and small across town. Whether high culture or low, New York embraces it all: in-your-face rock shows at Williamsburg dives, lavish opera productions at the Lincoln Center, and everything in between. This is a city of experimental theater, improv comedy, indie cinema, ballet, poetry, burlesque, jazz and so much more. If you can dream it up, it’s probably happening. There’s never been a better time to dine in New York. It's a hotbed of seasonal and locally sourced cuisine – with restaurants growing vegetables on roof gardens or upstate farms, sourcing meats and seafood from nearby sustainable outfits, and embracing artisanal everything, from coffee roasting and whiskey distilling to chocolate and cheese making. Bars have also taken creativity to new heights, with pre-Prohibition-era cocktails served alongside delectable small plates – indeed, gastropubs are some of the most creative places to eat these days. Of course, you can also hit a gourmet food truck or dine at one of the city's 75 Michelin-starred restaurants. By Lorna Parkes, Writer",https://lp-cms-production.imgix.net/2019-06/GettyImages-538096543_medium.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
los-angeles,https://www.lonelyplanet.com/usa/los-angeles," Ruggedly good looking, deeply creative, with a sunny disposition to boot…if LA were on Tinder, the app would crash. Envy is an ugly thing, New York. While your denizens spend their time sniffling and throwing shade in the snow, Angelenos are busy riding waves, tying up their hiking boots and counting their copious blessings. Think about it: in how many megalopolises can you gallop across rugged mountains just nine miles from City Hall? Despite its heaving head count, LA is a city indelibly tied to mighty Mother Nature. Here, dense, vibrant neighborhoods back onto golden beaches, city streets lead up to flower-carpeted hillsides, and huge, deep-blue skies are an IMAX screen for lingering sunsets made to pierce your heart. Dreams are serious business in La La Land. Home to Hollywood, this is a city where fantastical thoughts are encouraged; a place gleefully wrapped in endless layers of modern legend and mythology. Every year countless small-town dreamers pour onto its streets, itching to share their tales with LA and the world – on screen and stage, in lyrics, or on the whitewashed walls of galleries. The end result is an electrifying whirlpool of creativity: edgy art spaces, cult-status rock venues, acclaimed concert halls and thought-provoking stages, all fueling a city addicted to the weird, the wonderful and the downright scandalous. LA's obsession with creative expression extends to its stucco and mortar. After all, this is where movie palaces look like Chinese temples and ancient Egyptian tombs, where concerts halls twist and curve like steely cartoon characters, and where soda bottling plants look like landlocked ocean liners. Indeed, LA celebrates architectural diversity with astounding gusto. From storybook Hollywood abodes and Silver Lake modernist prototypes, to downtown theaters channeling the Palace of Versailles, no other American city delivers such a thrilling mash-up of architectural styles, statements and role models…often on the very same palm-studded street. So which really has the better food scene: LA or SF? While the latter may claim more Michelin stars, LA packs one heck of a culinary punch. It's here that you'll find California's best tacos, the country's most authentic Korean and one of the nation's biggest concentrations of vegan restaurants. And when it comes to imbibing, SF best take a cable car home. From dirty martinis in a basement power station, to craft brews in a steampunk bowling alley, LA has a knack for turning humble drinking sessions into otherworldly adventures worthy of a toast or three.",https://lp-cms-production.imgix.net/2019-06/9cc94ba08ddfdac2721c25534bc224b0-los-angeles.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
rome,https://www.lonelyplanet.com/italy/rome," A heady mix of haunting ruins, awe-inspiring art and vibrant street life, Italy’s hot-blooded capital is one of the world’s most romantic and charismatic cities. The result of 3000 years of ad hoc urban development, Rome's cityscape is an exhilarating sight. Ancient icons such as the Colosseum, Roman Forum and Pantheon recall the city’s golden age as caput mundi (capital of the world), while monumental basilicas tell of its history as seat of the Catholic Church. Lording it over the skyline, St Peter’s Basilica towers over the Vatican, testifying to the ambition of Rome’s Renaissance popes and the genius of its game-changing architects. Elsewhere, ornate piazzas and showy fountains add a baroque flourish to the city's captivating streets. Few cities can rival Rome's astonishing artistic heritage. Throughout history, the city has starred in the great upheavals of Western art, drawing top artists and inspiring them to push the boundaries of creative achievement. The result is a city awash with priceless treasures. Ancient statues adorn world-class museums; Byzantine mosaics and Renaissance frescoes dazzle in art-rich churches; baroque facades flank medieval piazzas. Stroll through the centre and without even trying you’ll come across masterpieces by the titans of European art – sculptures by Michelangelo, paintings by Caravaggio, frescoes by Raphael and fountains by Bernini. A trip to Rome is as much about lapping up the dolce vita lifestyle as gorging on art and culture. Idling around picturesque streets, whiling away hours at streetside cafes, people-watching on pretty piazzas – these are all central to the Roman experience. The tempo rises in the evening when fashionable drinkers descend on the city’s bars and cafes for a sociable aperitivo (drink with snacks) and trattorias hum with activity. Elsewhere, cheerful hordes mill around popular haunts before heading off to hip cocktail bars and late-night clubs. Eating out is one of Rome's great pleasures and the combination of romantic alfresco settings and superlative food is a guarantee of good times. For contemporary fine dining and five-star wine there are any number of refined restaurants, but for a truly Roman meal head to a boisterous pizzeria or convivial neighbourhood trattoria. That's where the locals go to indulge their passion for thin, crispy pizzas, humble pasta dishes, and cool white wines from the nearby Castelli Romani hills. To finish off, what can beat a gelato followed by a shot of world-beating coffee?",https://lp-cms-production.imgix.net/2019-06/stock-photo-roman-sunset-77415821.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
sydney,https://www.lonelyplanet.com/australia/sydney," Sydney, spectacularly draped around its glorious harbour and beaches, has visual wow factor like few other cities. Scratch the surface and it only gets better. National parks ring the city and penetrate right into its heart. Large chunks of harbour are still bush-fringed, while parks cut their way through skyscrapers and suburbs. Consequently, native critters turn up in the most surprising places. Clouds of flying foxes pass overhead at twilight and spend the night rustling around in suburban fig trees; oversized spiders stake out corners of lounge-room walls; possums rattle over roofs of terrace houses; and sulphur-crested cockatoos screech from the railings of urban balconies. At times Sydney's concrete jungle seems more like an actual one – and doesn't that just make it all the more exciting? After a lazy Saturday at the beach, urbane Sydneysiders have a disco nap, hit the showers and head out again. There's always a new restaurant to try, undercover bar to hunt down, hip band to check out, sports team to shout at, show to see or crazy party to attend. The city's pretensions to glamour are well balanced by a casualness that means a cool T-shirt and a tidy pair of jeans will get you in most places. But if you want to dress up and show off, there's plenty of opportunity for that among the sparkling harbour lights. Defined just as much by its rugged Pacific coastline as its exquisite harbour, Sydney relies on its coastal setting to replenish its reserves of charm; venture too far away from the water and the charm suddenly evaporates. Jump on a ferry and Sydney's your oyster – the harbour prises the city's two halves far enough apart to reveal an abundance of pearls. On the coast, Australia ends abruptly in sheer walls of sandstone punctuated by arcs of golden sand. In summer they're covered with bronzed bodies making the most of a climate that encourages outdoor socialising, exercising, flirting and fun. Brash is the word that inevitably gets bandied around when it comes to describing the Harbour City, and let's face it, compared to its Australian sister cities, Sydney is loud, uncompromising and in your face. Fireworks displays are more dazzling here, heels are higher, bodies more buffed, contact sports more brutal, starlets shinier, drag queens glitzier and prices higher. Australia’s best musos, foodies, actors, stockbrokers, models, writers and architects flock to the city to make their mark, and the effect is dazzling: a hyperenergetic, ambitious, optimistic and unprincipled marketplace of the soul, where anything goes and everything usually does.",https://lp-cms-production.imgix.net/2019-06/65830387.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
tokyo,https://www.lonelyplanet.com/japan/tokyo," Yoking past and future, Tokyo dazzles with its traditional culture and passion for everything new. More than any one sight, it's the city itself that enchants visitors. It's a sprawling, organic thing, stretching as far as the eye can see. Always changing, and with a diverse collection of neighbourhoods, no two experiences of the city are ever the same. Some neighbourhoods feel like a vision from the future, with ever taller, sleeker structures popping up each year; others evoke the past with low-slung wooden buildings and glowing lanterns radiating surprising warmth; elsewhere, drab concrete blocks hide art galleries and cocktail bars and every lane hints at possible discoveries. In Tokyo you can experience the whole breadth of Japanese arts and culture. Centuries-old forms of performing arts still play on stages and sumo tournaments draw crowds; every spring, Tokyoites head outside to appreciate the cherry blossoms – a tradition older than the city itself. There are museums covering every era of Japanese art history and also ones that focus on the contemporary – challenging the old distinctions between art with a capital A, pop culture and technology. But there's a playful side to all of this, too: Tokyo is, after all, a city whose public artworks include a scale model of an anime robot. When it comes to Tokyo superlatives, the city's food scene tops the list. But we're not just talking about the famous restaurants and the celebrity chefs: what Tokyo excels at is consistency across the board. Wherever you are, you're usually within 100m of a good, if not great, restaurant. It's a scene that careens nonchalantly between the highs and lows: it's not unusual for a top-class sushi restaurant to share the same block as an oil-spattered noodle joint, and for both to be equally adored. Tokyoites love dining out; join them, and delight in the sheer variety of tastes and experiences the city has to offer. Tokyo can seem daunting at first: the subway map – a tangle of intersecting lines – is often compared to a bowl of noodles. But once you get out there, you'll be surprised how easy it is to navigate. That subway can take you everywhere you want to go; trains are frequent (though sometimes uncomfortably crowded) and almost always on time, and stations are well-signposted in English. That's not to say you won't occasionally find yourself frustratingly disorientated, but locals are generally eager to help you get back on track.",https://lp-cms-production.imgix.net/2019-06/GettyImages-173253572_super.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
amsterdam,https://www.lonelyplanet.com/the-netherlands/amsterdam," Golden Age canals lined by tilting gabled buildings are the backdrop for Amsterdam's treasure-packed museums, vintage-filled shops and hyper-creative drinking, dining and design scenes. Amsterdam's canal-woven core is laced by atmospheric narrow lanes. You never know what you'll find: a tiny hidden garden; a boutique selling witty, stylised Dutch-designed homewares and fashion; a jewel-box-like jenever (Dutch gin) distillery; a flower stall filled with tulips in a rainbow of hues; an old monastery-turned-classical-music-venue; an ultra-niche restaurant such as an all-avocado specialist or one reinventing age-old Dutch classics. Fringing the centre, post-industrial buildings in up-and-coming neighbourhoods now house creative enterprises, from art galleries to craft breweries and cutting-edge tech start-ups, as well as some of Europe's hottest clubs. You can't walk a kilometre without bumping into a masterpiece in the city. The Van Gogh Museum hangs the world's largest collection by tortured native son Vincent. A few blocks away, Vermeers, Rembrandts and other Golden Age treasures fill the glorious Rijksmuseum. The Museum het Rembrandthuis offers more of Rembrandt via his etching-packed studio, while the Stedelijk Museum counts Matisses and Mondrians among its modern stock. And for blockbuster displays, the Hermitage Amsterdam delivers: the outpost of Russia's State Hermitage Museum sifts through its three-million-piece home trove to mount mega exhibitions. Two-wheeling is a way of life here. It's how Amsterdammers commute to work, go to the shop, and meet a date for dinner. Abundant bike-hire shops make it easy to gear up and take a spin. If locals aren't on a bike, they may well be on the water. With its canals and massive harbour, this city reclaimed from the sea offers countless opportunities to drift. Hop aboard a canal boat (preferably an open-air one) or one of the free ferries behind Centraal Station, or rent your own for a wind-in-your-hair ride. Amsterdam is famously gezellig, a Dutch quality that translates roughly as 'convivial' or 'cosy'. It's more easily experienced than defined. There's a sense of time stopping, an intimacy of the here-and-now that leaves your troubles behind, at least until tomorrow. The easiest place to encounter this feeling is a bruin café (brown cafe; traditional drinking establishment). Named for their wood panelling and walls once stained by smoke, brown cafes have gezelligheid (cosiness) on tap, along with good beer. You can also feel gezellig lingering after dinner in snug restaurants while the candles burn low.",https://lp-cms-production.imgix.net/2019-06/stock-photo-beautiful-amsterdam-76796579.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
cape-town,https://www.lonelyplanet.com/south-africa/cape-town," A coming-together of cultures, cuisines and landscapes, there's nowhere quite like Cape Town, a singularly beautiful city crowned by the magnificent Table Mountain National Park. Table Mountain National Park defines the city. The flat-topped mountain is the headline act, but there are many other equally gorgeous natural landscapes within the park’s extensive boundaries. Cultivated areas, such as the historic Company’s Garden, Kirstenbosch National Botanical Garden and Green Point Urban Park, also make exploring the city a pleasure. Follow the lead of locals by taking full advantage of the abundant outdoor space: learn to surf; go hiking or mountain biking; tandem-paraglide off Lion’s Head; abseil off the top of Table Mountain – just a few of the many activities on offer. Human creativity is also self-evident here – it's one of the things that made the city a World Design Capital in 2014. From the brightly painted facades of the Bo-Kaap and the bathing chalets of Muizenberg, to the Afro-chic decor of its restaurants and bars and the striking street art and innovation incubators of the East City and Woodstock, this is one great-looking metropolis. The informal settlements of the Cape Flats are a sobering counterpoint, but these townships also have enterprising projects that put food from organic market gardens on tables, or stock gift shops with attractive souvenirs. Christian, Muslim, Jewish, Hindu and traditional African beliefs coexist peacefully in this proudly multicultural city. Given South Africa’s troubled history, such harmony has been hard-won and remains fragile: nearly everyone has a fascinating, sometimes heartbreaking story to tell. It’s a city of determined pioneers – from the Afrikaner descendants of the original Dutch colonists and the majority coloured community to the descendants of European Jewish immigrants and more recent Xhosa (isiXhosa) migrants from the Eastern Cape. They all bring unique flavours to Cape Town’s rich melting pot. Wrenching yourself away from the magnetic mountain and all the delights of the Cape Peninsula is a challenge, but within an hour you can exchange urban landscapes for the charming towns, villages and bucolic estates of Winelands destinations, such as Stellenbosch and Franschhoek. Hermanus is a prime whale-watching location, and also a base from which to organise shark-cave diving. Further afield, the delights of the Garden Route unfold, with more inspiring scenery to be viewed on thrilling drives down the coast and over mountain passes.",https://lp-cms-production.imgix.net/2019-06/stock-photo-welcome-to-cape-town-104168527.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
san-francisco,https://www.lonelyplanet.com/usa/san-francisco," Grab your coat and a handful of glitter, and enter a wonderland of fog and fabulousness. So long, inhibitions; hello, San Francisco! Consider permission permanently granted to be outlandish: other towns may surprise you, but in San Francisco you will surprise yourself. Good times and social revolutions tend to start here, from manic gold rushes to blissful hippie 'be-ins'. If there's a skateboard move yet to be busted, a technology still unimagined, a poem left unspoken or a green scheme untested, chances are it's about to happen here. Yes, right now. This town has lost almost everything in earthquakes and dot-com gambles, but never its nerve. Every available Bay Area–invented technology is needed to make dinner decisions in this city, with the most restaurants and farmers markets per capita in North America – all supplied by pioneering local organic farms. San Francisco set the gold standard for Wild West saloons, until drinking was driven underground in the 1920s with Prohibition. Today San Francisco celebrates its historic saloons and speakeasies – and with Wine Country and local distillers providing a steady supply of America's finest hooch, the West still gets wild nightly. San Francisco is a 7-by-7-mile peninsula that looks like California's thumb, pointed optimistically upwards. Take this as a hint to look up: you'll notice San Francisco's crooked Victorian rooflines, wind-sculpted treetops, and fog tumbling over the Golden Gate Bridge. Microclimates add magic realism to San Francisco days: when it's drizzling in the outer reaches of Golden Gate Park, it might be sunny in the Mission. A difference of a few degrees between neighborhoods grants permission for salted-caramel ice cream in Dolores Park, or a hasty retreat to tropical heat inside the California Academy of Sciences' rainforest dome. This town will give you goose bumps one minute, and warm you to the core the next.",https://lp-cms-production.imgix.net/2019-06/9cf024dfd5c0bcb2b17f4785340145ea-san-francisco.jpg?auto=format&fit=crop&vib=20&sharp=10&ixlib=react-8.6.4&w=1600&q=40&dpr=5 5x
